home_score,home_wins,home_losses,home_fgm,home_fga,home_3pm,home_3pa,home_ftm,home_fta,home_oreb,home_dreb,home_treb,home_ast,home_blk,home_to,home_pf,home_poss,away_score,away_wins,away_losses,away_fgm,away_fga,away_3pm,away_3pa,away_ftm,away_fta,away_oreb,away_dreb,away_treb,away_ast,away_blk,away_to,away_pf,away_poss,winner
74,12,9,26,57,6,21,16,21,9,26,3,15,2,15,17,59,74,11,9,27,57,6,17,13,19,11,27,4,15,3,15,19,58,home
69,9,15,24,57,8,25,14,18,12,28,3,12,2,12,17,51,67,6,19,24,59,7,24,12,18,10,26,3,12,2,15,19,57,home
78,6,2,28,61,9,23,14,19,10,27,4,14,3,11,16,59,71,2,7,25,61,8,25,12,18,10,24,3,15,3,15,21,59,home
64,6,12,22,56,6,19,14,20,11,23,3,11,3,14,20,52,65,5,13,25,58,6,18,10,16,10,20,4,12,2,12,18,55,away
71,10,10,24,59,7,20,16,22,12,26,3,12,4,14,19,54,88,13,5,31,61,6,16,19,28,12,29,3,18,4,15,17,63,away
74,19,9,26,58,6,20,16,24,11,27,3,13,3,13,18,56,66,6,22,24,61,7,22,12,17,11,25,3,12,2,14,19,55,home
72,1,3,26,64,9,29,10,14,13,25,3,13,6,12,22,56,71,1,3,25,61,9,25,13,19,10,27,3,14,7,15,24,59,away
67,11,8,24,56,4,12,15,21,11,26,3,15,7,14,17,54,86,18,2,31,61,7,19,18,26,11,27,3,15,6,13,20,61,home
70,7,9,25,57,6,20,14,21,10,26,3,11,5,13,17,55,90,14,2,32,67,8,21,18,27,16,22,3,19,5,11,20,59,away
72,8,9,25,58,8,22,14,18,9,24,2,13,3,11,22,55,71,7,8,25,58,9,25,12,19,10,28,4,13,2,14,19,57,home
79,8,11,28,62,9,22,14,21,12,25,4,15,3,14,21,59,73,8,12,23,54,9,27,18,23,9,25,2,13,2,14,16,53,home
74,2,5,26,65,7,22,14,21,14,24,5,13,2,14,21,57,72,2,7,24,57,9,23,14,21,8,26,5,13,3,15,20,59,home
69,12,8,24,55,6,19,16,23,12,28,3,13,5,14,16,51,81,15,6,27,62,10,25,17,22,11,25,4,14,5,10,17,56,home
66,3,15,21,55,6,19,18,25,10,24,3,11,4,17,21,54,74,8,10,26,58,9,24,14,19,8,26,2,13,3,12,21,57,away
90,1,1,32,68,8,23,18,23,12,30,3,16,2,11,25,63,65,0,2,25,65,6,18,10,15,15,26,5,10,3,16,25,56,home
67,6,18,24,54,7,19,11,16,7,23,3,11,4,16,18,59,77,19,7,28,58,8,20,14,21,9,25,3,16,2,12,17,58,away
85,5,1,27,56,9,24,22,30,11,28,4,15,4,15,23,58,88,2,3,31,69,9,25,17,28,15,25,2,17,2,11,21,59,home
69,3,3,23,63,8,30,14,18,13,25,3,11,3,12,23,53,83,4,4,30,65,9,23,15,21,12,27,4,17,5,14,21,63,home
78,8,2,24,56,9,27,20,26,7,28,2,15,4,13,22,57,81,6,5,29,64,9,25,15,21,14,28,3,15,5,14,19,59,home
73,16,17,26,59,8,23,13,20,11,27,3,12,3,13,19,57,76,19,14,26,54,9,22,15,20,10,25,3,15,2,12,17,54,home
78,5,4,25,54,7,19,21,27,10,24,4,14,5,15,20,55,83,4,3,29,60,10,23,15,20,8,24,4,17,3,12,21,61,home
76,19,10,25,57,8,23,17,22,10,25,3,14,2,15,18,57,76,23,6,26,58,6,20,17,22,11,28,3,13,3,13,19,56,away
65,7,15,24,57,6,18,12,18,10,25,3,11,3,14,20,55,75,11,12,26,57,6,19,16,25,11,27,4,13,4,16,22,58,away
81,12,8,28,63,10,28,15,20,10,26,3,15,3,14,17,61,79,6,13,30,64,9,24,11,16,10,25,3,15,3,14,17,64,home
74,10,16,26,59,8,21,14,19,11,25,2,14,3,13,19,57,81,17,9,29,63,7,21,15,21,13,23,4,16,4,12,18,58,away
58,0,1,22,65,5,22,9,16,11,25,5,9,2,4,12,46,71,1,0,27,64,2,14,15,21,20,32,4,14,4,21,14,58,home
79,3,3,29,65,9,27,11,18,10,30,5,18,3,11,19,60,71,2,4,22,58,9,26,18,24,8,24,4,12,2,14,21,55,home
77,10,3,28,62,8,22,14,19,12,28,2,13,8,12,17,57,69,8,6,23,53,8,24,14,20,8,27,3,14,4,15,17,55,home
68,19,12,24,56,8,22,12,17,11,23,3,12,3,13,17,52,63,7,25,22,53,7,21,13,19,8,24,3,10,3,16,18,55,home
68,3,1,23,53,6,15,17,25,13,33,4,13,6,18,19,52,82,2,2,30,67,8,22,15,23,10,27,5,15,4,13,23,65,home
